Country of Manufacture (group),Company (group),Vaccine,Highest Pipeline (group) 1,Drug Description
Argentina,Sinergium Biotech,PCV,Marketed,
AurobindoHPV,Aurobindo,HPV,Preclinical,Human papilloma virus vaccine is under development for the prevention of HPV associated cancer. The vaccine candidate is a 7-valent vaccine. It is administered with GeneVax priming followed by VesiculoVax boosting. The vaccine candidate is developed based on PBS (prime/boost system) Vax technology platform.
Australia,Murdoch Children's Research Institute,Rota,Phase III,RV3-BB  vaccine is under investigation for the prevention of severe rotavirus gastroenteritis. The drug candidate is administered orally in the form of solution. It consists of live naturally attenuated human rotavirus particles.
Australia,Vaxxas,MR,Preclinical,Vaccine is under development for the prevention of measles and rubella. It is administered through intradermal route as patch. The vaccine is being developed based on high density microneedle array patch (HD-MAP) technology.
Australia,Vaxxas,IPV,Preclinical,Vaccine candidate is under development for the prevention of poliomyelitis infection. It is a trivalent inactivated vaccine administered through intradermal patch. The vaccine candidate is being developed based on high density microarray patch (HD-MAP) technology.
Bangladesh,Incepta Vaccine,OCV,Marketed,Cholvax is under development for the prevention of cholera. The vaccine is administered by oral route. The vaccine is a whole cell inactivated bivalent cholera vaccine.
Bavarian NordicOCV,Bavarian Nordic,OCV,Marketed,Cholera Vaccine (Dukoral) is an active immunizing agent . It is formulated in the form of suspension and effervescent granules for oral route of administration. It is indicated for active immunisation against disease caused by Vibrio cholerae serogroup O1 in adults and children from 2 years of age who will be visiting endemic/epidemic areas. Dukoral is also used to treat travellers diarrhea.
"Beijing Institute of Biological Products Co., Ltd.  (CNBG Subsidiary)IPV","Beijing Institute of Biological Products Co., Ltd.  (CNBG Subsidiary)",IPV,Marketed,Vaccine candidate is under investigation for the prevention of poliomyelitis. The drug candidate is an inactivated vaccine.
"Beijing Institute of Biological Products Co., Ltd.  (CNBG Subsidiary)MR","Beijing Institute of Biological Products Co., Ltd.  (CNBG Subsidiary)",MR,Marketed,
"Beijing Institute of Biological Products Co., Ltd.  (CNBG Subsidiary)YF","Beijing Institute of Biological Products Co., Ltd.  (CNBG Subsidiary)",YF,Marketed,
Beijing Minhai Biotec GroupHPV,Beijing Minhai Biotec Group,HPV,Preclinical,Vaccine is under development for the prevention of human papillomavirus infections. It is a genetically engineered quadrivalent vaccine.
Beijing Minhai Biotec GroupIPV,Beijing Minhai Biotec Group,IPV,Phase II,Vaccine candidate is under development for the prevention of poliomyelitis. It is an inactivated vaccine. It is administered through intramuscular route.
Beijing Minhai Biotec GroupMR,Beijing Minhai Biotec Group,MR,Marketed,Measles and Rubella combined vaccine is a live attenuated virus vaccine acts as an immunizing agent. It is a lyophilized injection preparation for subcutaneous route of administration. Measles and Rubella combined vaccine is indicated for vaccination against measles and rubella.
Beijing Minhai Biotec GroupPCV,Beijing Minhai Biotec Group,PCV,Marketed,Vaccine is under development for the prevention of Streptococcal pneumonia infections. It is a 20-valent conjugated vaccine.
Beijing Minhai Biotec GroupRota,Beijing Minhai Biotec Group,Rota,Preclinical,Vaccine is under development for the prevention of rotavirus infections. It is a pentavalent vaccine. The vaccine candidate is administered through oral route.
Belgium,Univercells,MR,Preclinical,Vaccine candidate is under development for the prevention of measles and rubella. It is being developed based on NevoLine platform.
Belgium,Univercells,IPV,Preclinical,Vaccine candidate is under development for the prevention of poliomyelitis infection. The vaccine candidate is a trivalent sabin inactivated polio vaccine (sIPV) and is being developed based on NevoLine platform.
Bharat Biotech International LimitedDTwP-HepB-Hib,Bharat Biotech International Limited,DTwP-HepB-Hib,Marketed,"Diphtheria, tetanus, pertussis, hepatitis B and haemophilus influenzae type b pentavalent vaccine (Comvac5) is a fixed dose conjugate vaccine acts as an immunizing agent. It is formulated as suspension for intramuscular route of administration. Comvac5 is indicated for primary immunization of infants and children against diseases of diphtheria, tetanus, whooping cough, hepatitis caused by hepatitis B virus and disease caused by H. Influenzae Type b."
Bharat Biotech International LimitedHPV,Bharat Biotech International Limited,HPV,Preclinical,A vaccine is under development for the prevention of human papilloma virus infections.
Bharat Biotech International LimitedIPV,Bharat Biotech International Limited,IPV,Preclinical,Vaccine candidate is under development for the prevention of poliomyelitis. It is an inactivated vaccine.
Bharat Biotech International LimitedJE,Bharat Biotech International Limited,JE,Marketed,"Japanese encephalitis virus (Jenvac) is an inactivated vero cell- derived vaccine prepared from an Indian strain of the Japanese encephalitis virus. It is formulated as injectable suspension for  intramuscular route of administration. Jenvac is indicated for active immunization against Japanese encephalitis infection, in adults and children above one year of age."
Bharat Biotech International LimitedOCV,Bharat Biotech International Limited,OCV,Phase III,"Vaccine is under development for the prevention of cholera infections. The vaccine candidate is administered by oral route. Oral cholera vaccine HL-OCV, consists of formaldehyde-inactivated recombinant V.cholerae strain MS 1568 expressing both Ogawa and Inaba antigens"
Bharat Biotech International LimitedRota,Bharat Biotech International Limited,Rota,PQ'd,*
Bharat Biotech International LimitedTCV,Bharat Biotech International Limited,TCV,PQ'd,*
Bio-Manguinhos/FiocruzIPV,Bio-Manguinhos/Fiocruz,IPV,Marketed,*
Bio-Manguinhos/FiocruzMR,Bio-Manguinhos/Fiocruz,MR,Phase III,Vaccine candidate is under investigation for the prevention of measles and rubella.
Bio-Manguinhos/FiocruzYF,Bio-Manguinhos/Fiocruz,YF,PQ'd,Yellow fever vaccine is a attenuated 17D strain of yellow fever virus grown in embryonated chicken free of pathogens eggs. Yellow fever is an acute viral illness caused by a mosquito-borne flavivirus. It is a lyophilized form reconstituted for subcutaneous route of administration which is indicated for the treatment of yellow fever.
Biological E. LimitedDTwP-HepB-Hib,Biological E. Limited,DTwP-HepB-Hib,PQ'd,"Diphtheria, tetanus, pertussis, hepatitis B and haemophilus type B vaccine (ComBE Five) is a pentavalent combination vaccine which acts as immunizing agent. It is formulated as injection solution for intramuscular route of administration. ComBE Five is indicated for primary active immunization against diphtheria, tetanus, pertussis, hepatitis B, and haemophilus type B."
Biological E. LimitedIPV,Biological E. Limited,IPV,Phase I,Vaccine candidate is under development for the prevention of poliomyelitis infection. The therapeutic candidate is administered through the intramuscular route. The vaccine candidate is an inactivated vaccine.
Biological E. LimitedJE,Biological E. Limited,JE,PQ'd,"Japanese encephalitis virus vaccine inactivated (Ixiaro / Jespect) is an primary immunizing preparation. It is formulated as injectable suspension for intramuscular route of administration. It is indicated for active immunisation against japanese encephalitis in adults, adolescents, children and infants aged 2 months and older."
Biological E. LimitedMR,Biological E. Limited,MR,PQ'd,
Biological E. LimitedPCV,Biological E. Limited,PCV,Phase III,Vaccine is under development for the prevention of streptococcal pneumonia. The vaccine candidate is formulated as a liquid and administered through intramuscular route. It is a 14-valent pneumococcal conjugate vaccine.
Biological E. LimitedTCV,Biological E. Limited,TCV,PQ'd,*
BiovacHPV,Biovac,HPV,Marketed,
Brazil,Butantan,Rota,Phase II,"Vaccine candidate is under investigation for the prevention of rotavirus infections. The vaccine candidate is administered orally. The therapeutic candidate is made up of five strains (G1, G2, G3, G4, G9 serotypes) of genetically rearranged and attenuated human and bovine rotavirus. The therapeutic candidate stimulates the body's immune system to recognize the agent as foreign, destroy it and remember it, so that the immune system can more easily recognize and destroy any of these microorganisms that it later encounters."
Cadila Health Care LTDDTwP-HepB-Hib,Cadila Health Care LTD,DTwP-HepB-Hib,Marketed,"Diphtheria, Haemophilus Influenzae [Serotype B], Hepatitis B, Pertussis (Whole Cell) and Tetanus vaccine (Pentavalent (DTP-Hib-HepB)) is a pentavalent vaccine. It is formulated as solution for intramuscular route of administration. Pentavalent (DTP-Hib-HepB) is indicated for the prevention of diphtheria, haemophilus influenzae type b infections, hepatitis b, pertussis (whooping cough) and tetanus."
Cadila Health Care LTDHPV,Cadila Health Care LTD,HPV,Phase II,
Cadila Health Care LTDMR,Cadila Health Care LTD,MR,Marketed,Measles and rubella vaccine (MR) is a live attenuated virus vaccine acts as an immunizing agent. It is a lyophilized injection preparation for subcutaneous route of administration. Measles and Rubella combined vaccine is indicated for vaccination against measles and rubella.
Cadila Health Care LTDTCV,Cadila Health Care LTD,TCV,Marketed,
Canada,Medicago,Rota,Phase I,Rotavirus (virus like particle) vaccine is under development for the prevention of rotavirus gastroenteritis.The therapeutic candidate is administered through intramuscular route.The vaccine candidate is developed by using Proficia Technology and VLPExpress platform.
Canada,Symvivo Inc,Rota,Preclinical,Vaccine candidate is under development for the prevention of rotavirus infections. It is administered through oral route and is being developed based on bacTRL technology.
Canada,PnuVax,PCV,Preclinical,"pneumococcal  vaccine is under development for the treatment or prevention of streptococcal pneumonia infections. Vaccine consists of serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F and 23F. It is a conjugate vaccine with carrier protein CRM197. The vaccine candidate is developed based on conjugation platform technology which helps to produce low cost vaccines."
Centro de Ingenieria Genetica y BiotecnologiaDTwP-HepB-Hib,Centro de Ingenieria Genetica y Biotecnologia,DTwP-HepB-Hib,Marketed,
"Chengdu Institute of Biological Products Co.,Ltd (CNBG Subsidiary)HPV","Chengdu Institute of Biological Products Co.,Ltd (CNBG Subsidiary)",HPV,Phase III,"Vaccine is under development for the prevention of human papillomavirus infections and HPV-related cervical carcinoma, cervical dysplasia any grade of cervical intraepithelial neoplasia, cervical carcinoma in situ and invasive carcinoma; genital warts, vulvar intraepithelial neoplasia ; vaginal intraepithelial neoplasia, vulvar cancer and vaginal cancer. The vaccine candidate is a modified 11-valent recombinant human papillomavirus vaccine. It comprises of antigens of HPV types 6,11,16,18,31,33,45,52,58,59 and 68. The drug candidate is administered through intramuscular route of administration."
"Chengdu Institute of Biological Products Co.,Ltd (CNBG Subsidiary)JE","Chengdu Institute of Biological Products Co.,Ltd (CNBG Subsidiary)",JE,PQ'd,Japanese encephalitis virus is an inactivated Vero cell- derived vaccine prepared from an Indian strain of the Japanese encephalitis virus. It is formulated as powder for solution for the intramuscular route of administration. Japanese encephalitis is indicated for active immunization against Japanese encephalitis infection.
"Chengdu Institute of Biological Products Co.,Ltd (CNBG Subsidiary)PCV","Chengdu Institute of Biological Products Co.,Ltd (CNBG Subsidiary)",PCV,Preclinical,Vaccine candidate is under development for the prevention of streptococcal pneumonia infections. The therapeutic candidate is a 13 polysaccharide conjugate vaccine.
China,Xiamen Innovax,HPV,PQ'd,*
China,Walvax,PCV,Marketed,Pneumococcal polysaccharide [13-valent] vaccine (Shisanjia Feiyanqiujun Duotang Jiehe Yimiao) is a bacterial vaccine containing parts various strains of Pneumococcal pneumoniae bacterium acts as immunizing preparation. It is formulated as suspension for intramuscular route of administration. Pneumococcal polysaccharide [13-valent] vaccine is most effective to prevent Streptococcus pneumoniae infection in infants and children aged 6 weeks to 5 years.
China,Shanghai United Cell Biotechnology,OCV,Marketed,Cholera vaccine (OraVacs) is a recombinant B-subunit whole cell inactivated vaccine. It is formulated as enteric coated capsules for oral route of administration. It is indicated for active immunization against cholera and/or travelers’ diarrhea caused by Enterotoxigenic Escherichia coli (ETEC) in adults and children >¬ 11 years old in high-risk work and residential environment.
China,Liaoning Chengda Biotechnology,JE,Marketed,Japanese encephalitis (vero cell) vaccine is an inactivated Vero cell- derived vaccine prepared from an Indian strain of the Japanese encephalitis virus. It is formulated as powder for solution for the intramuscular route of administration. Japanese encephalitis(vero cell) vaccine is indicated for active immunization against Japanese encephalitis infection.
China,Chinese Academy of Medical Sciences,IPV,Marketed,
China,Walvax,HPV,Marketed,*
China,Tianjin CanSino,PCV,Phase III,Pneumococcal (13- valent) vaccine (PCV-13I) is under development for the prevention of streptococcal pneumonia infections in children under 2 years old. The therapeutic candidate is a 13 polysaccharide conjugate vaccine comprises of carrier proteins CRM197 conjugated with TT. It is administered through intramuscular injection. It is developed based on conjugation vaccine platform.
China,Chongqing Zhifei,PCV,Phase III,"Vaccine is under development for the treatment or prevention of Streptococcal pneumonia infections. The vaccine candidate is a polysaccharide 15 serotypes (1,2,3,4,5,6A, 6B, 7F, 9V, 12F, 14,18C, 19A, 19F and 23F) based conjugate vaccine. It is administered through the intramuscular route."
China,Chinese Academy of Medical Sciences,JE,Phase III,Vaccine candidate is under development for the prevention of Japanese encephalitis in infants. It is administered as a subcutaneous injection. The therapeutic candidate is cell-derived (Vero cells) inactivated vaccine.
China,Shanghai Bovax,HPV,Phase III,*
China,Jiangsu Rec-Biotechnology,HPV,Phase III,*
China,CNBG NVSI,HPV,Phase III,"The vaccine candidate is under investigation for the prevention of human papilloma virus infections. It is administered through parenteral route. The drug candidate is a recombinant tetravalent vaccine comprising four serotypes (6,11,16,18) of HPV."
China,Beijing Health Guard,HPV,Phase III,*
China,Vaccine Technologies Inc,OCV,Phase II,
China,Chongqing Zhifei,Rota,Phase I,Vaccine is under development for the prevention of acute gastroenteritis (AGE) caused by rotavirus infection. The drug candidate is the inactivated vaccine. It is administered through intramuscular route.
China,Chinese Academy of Medical Sciences,Rota,Phase I,Vaccine candidate is under investigation for prevention of diarrhea caused by Rotavirus infection. It is administered as intramuscular injection. The therapeutic candidate is cell derived (vero cell) inactivated vaccine. It is administered through intramuscular route.
China,Jiangsu Kunli Biopharmaceutical Co Ltd,PCV,Phase I,*
China,Chengdu Antkin Biotechnology,PCV,Phase I,Vaccine is under development for the treatment of Streptococcal pneumonia infections. It is a conjugated vaccine and administered through intramuscular route.
China,Beijing Anbaisheng,HPV,Phase I,"Vaccine is under development for the prevention of human papillomavirus (HPV) infections. The drug candidate is a 9 valent HPV (types 6, 11, 16, 18,31,33,45,52 and 58) recombinant vaccine. It is administered through intramuscular route."
China,Walvax,TCV,Preclinical,Typhoid Vi polysaccharide vaccine is under development for the prevention of typhoid fever. It is administered as injection through intramuscular route.
China,Xiamen Innovax,Rota,Preclinical,
China,Suzhou Weichao Biotechnology Co Ltd,PCV,Preclinical,*
China,Olymvax Biopharmaceuticals,PCV,Preclinical,"Pneumococcal vaccine is under development for the prevention of pneumonia, encephalitis, otitis media, bacteremia caused by 13 pneumococcal serotypes, diplococcus pneumoniae in children (more than 2 months and less than 2 years). It is a conjugate vaccine."
China,Jilin University,HPV,Preclinical,Recombinant human papilloma virus vaccine is under investigation for the prevention of genital warts. The vaccine candidate constitutes human papilloma types 6 and 11 strains. The HPV6/11 virus like particles are derived from Hansenula polymorpha. The target gene sequence is combined with a plasmid vector to construct recombinant expression plasmid pRMHP2.2- HPV L1.
China,Chongqing Zhifei,HPV,Preclinical,Vaccine candidate is under development for the prevention of Human papillomavirus (HPV) infections. The vaccine candidate elicits a protective immune response against HPV.
China,AIM Vaccine Co Ltd,HPV,Preclinical,Vaccine is under development for the prevention of human papillomavirus (HPV) infections. The drug candidate is a 9 valent HPV vaccine. It is being developed based on viral vaccine platform technology.
China National Biotech GroupJE,China National Biotech Group,JE,Marketed,
Chongqing ZhifeiJE,Chongqing Zhifei,JE,Preclinical,Vaccine candidate is under development for the prevention of Japanese encephalitis.
CSLOCV,CSL,OCV,Marketed,Cholera Vaccine (Dukoral) is an active immunizing agent . It is formulated in the form of suspension and effervescent granules for oral route of administration. It is indicated for active immunisation against disease caused by Vibrio cholerae serogroup O1 in adults and children from 2 years of age who will be visiting endemic/epidemic areas. Dukoral is also used to treat travellers diarrhea.
Denmark,AJ Vaccines/SSI,IPV,PQ'd,"Poliomyelitis virus type 1, 2, 3 (Trivalent polio vaccine, Poliovaccine) consists of a mixture of live attenuated poliovirus strains, formulated as solution for intramuscular and subcutaneous route of administration. Poliovaccine is indicated for primary immunization and refresher from infants two months, children, adolescents and adults against poliomyelitis."
Denmark,Bavarian Nordic,JE,Marketed,"Japanese encephalitis virus vaccine inactivated (Ixiaro / Jespect) is an primary immunizing preparation. It is formulated as injectable suspension for intramuscular route of administration. It is indicated for active immunisation against japanese encephalitis in adults, adolescents, children and infants aged 2 months and older."
Denmark,Bavarian Nordic,YF,Phase I,Vaccine is under development for the prevention of yellow fever. It is administered through intramuscular route. The vaccine candidate is developed based on MVA-BN (Modified Vaccinia Ankara - Bavarian Nordic) platform technology.
Espromed BioDTwP-HepB-Hib,Espromed Bio,DTwP-HepB-Hib,Marketed,
"EuBiologics Co., Ltd.HPV","EuBiologics Co., Ltd.",HPV,Preclinical,Vaccine candidate is under development for the prevention of HPV associated cervical cancer.
"EuBiologics Co., Ltd.OCV","EuBiologics Co., Ltd.",OCV,PQ'd,
"EuBiologics Co., Ltd.PCV","EuBiologics Co., Ltd.",PCV,Phase I,EUC-003 is under development for the prevention of Streptococcus pneumonia infections. It is a conjugate vaccine. It is developed based on EuVCTTM platform technology. The therapeutic candidate is a 15-valent pneumococcal conjugate vaccine. It is administered through intramuscular route.
"EuBiologics Co., Ltd.TCV","EuBiologics Co., Ltd.",TCV,Phase III,EUC-002 is under development for the prevention of typhoid fever. It is a conjugate vaccine. It is administered through intramuscular route.
Finlay InstituteOCV,Finlay Institute,OCV,Phase II,The vaccine candidate is under investigation for the prevention of cholera infections. It is administered through oral route as a suspension. The vaccine candidate is a lyophilized live attenuated vaccine that constitutes attenuated O1 Biotype El Tor strain and serotype Ogawa. The vaccine candidate acts by targeting V. cholerae lipopolysaccharide (LPS).
Finlay InstitutePCV,Finlay Institute,PCV,Phase III,*
Finlay InstituteTCV,Finlay Institute,TCV,Preclinical,"This project is based on the potential of conjugated vaccines to induce a long-lasting and effective immune response in infants, which differentiates them from polysaccharide vaccines. The evaluation in animal models of conjugates using the Vi polysaccharide of Salmonella Typhi and the tetanus and diphtheria toxoids as carrier proteins, has shown the induction of a high immune response as well as the production of B and T cells related to immunological memory."
France,Valneva,OCV,PQ'd,Cholera Vaccine (Dukoral) is an active immunizing agent . It is formulated in the form of suspension and effervescent granules for oral route of administration. It is indicated for active immunisation against disease caused by Vibrio cholerae serogroup O1 in adults and children from 2 years of age who will be visiting endemic/epidemic areas. Dukoral is also used to treat travellers diarrhea.
France,Valneva,JE,Marketed,"Japanese encephalitis virus vaccine inactivated (Ixiaro / Jespect) is an primary immunizing preparation. It is formulated as injectable suspension for intramuscular route of administration. It is indicated for active immunisation against japanese encephalitis in adults, adolescents, children and infants aged 2 months and older."
Germany,CureVac,Rota,Preclinical,Vaccine is under development for the prevention of rotavirus infections. It is an RNActive-derived mRNA (messenger RNA) therapeutic. It comprises modified long chain mRNA molecules coding for antigens expressed by the pathogen. The therapeutic candidate is developed based on RNActive technology.
Germany,Max Planck Institute,PCV,Preclinical,Vaccine candidate is under investigation for the prevention of Streptococcus pneumonia infections. This conjugate vaccine constitutes the synthetic repeating unit tetrasaccharide of the S. pneumonia serotype 3 (SP3) conjugated with CRM197 (non-toxic mutant of diphtheria toxin). It is based on conjugate vaccine technology.
Germany,German Cancer Research Center,HPV,Preclinical,"Human papillomavirus vaccine [types 16, 31, 51] is under development for the prevention of human papillomavirus associated cerivical cancer. The vaccine candidate comprises of three copies of amino acid 20-38 derived from L2 protein of HPV16, HPV31 and HPV51 fused to thioredoxin from Pyrococcus furiosus. It is developed based on IMX-313 technology."
GlaxoSmithKline Biologicals SADTwP-HepB-Hib,GlaxoSmithKline Biologicals SA,DTwP-HepB-Hib,Marketed,
GlaxoSmithKline Biologicals SAHPV,GlaxoSmithKline Biologicals SA,HPV,PQ'd,"Human papillomavirus [serotypes 16, 18] (bivalent) vaccine (Cervarix) is a non-infectious recombinant AS04-adjuvanted vaccine. It is formulated as a sterile suspension for intramuscular route of administartion. Cervarix is indicated for the prevention of the diseases caused by oncogenic human papillomavirus (HPV) types 16 and 18 such as cervical cancer, cervical intraepithelial neoplasia (CIN) grade 2 or worse and adenocarcinoma in situ, and cervical intraepithelial neoplasia (CIN) grade1.Human Papillomavirus is also indicated for the prevention of premalignant anal lesions and anal cancers causally related to HPV."
GlaxoSmithKline Biologicals SAIPV,GlaxoSmithKline Biologicals SA,IPV,PQ'd,"Poliomyelitits vaccine (Ipoliorix, Poliorix ) belongs to immunizing agents class. It is formulated as injectable suspension and solution for intramuscular route of administration. It is indicated for prevention of poliomyelitits. The vaccine candidate is under development for the prevention of polio myelitis in China."
GlaxoSmithKline Biologicals SAPCV,GlaxoSmithKline Biologicals SA,PCV,PQ'd,*
GlaxoSmithKline Biologicals SARota,GlaxoSmithKline Biologicals SA,Rota,PQ'd,"Rotavirus vaccine (Rotarix) is a live, attenuated rotavirus vaccine derived from the human 89-12 strain which belongs to G1P[8] type. It is formulated as suspension for reconstitution for oral administration. After reconstitution of the rotavirus strain taken from human body, the final formulation contains around million median Cell Culture Infective Dose (CCID50) of live, attenuated rotavirus. Primarily, it is indicated for the prevention of gastroenteritis due to rotavirus infection caused by G1 and non-G1 types (G3, G4, and G9) when administered as a 2-dose series for use in infants of 6 to 24 weeks of age.Porcine circovirus free (PCV-free) liquid human rotavirus (HRV) vaccine is under development for the treatment of rotavirus infections. Rotarix was also under development in China."
"GPO-MBP Co., Ltd.JE","GPO-MBP Co., Ltd.",JE,PQ'd,
Green Cross CorporationJE,Green Cross Corporation,JE,Marketed,Japanese encephalitis vaccine (Japanese Encephalitis Vaccine-GCC) consist of inactivated japanese encephalitis virus (nakayama strain). It is formulated as suspension for subcutaneous route of administration. Japanese Encephalitis Vaccine-GCC is indicated for the prevention of Japanese encephalitis infection.
HLL Biotech LimitedDTwP-HepB-Hib,HLL Biotech Limited,DTwP-HepB-Hib,Marketed,
Imunoloski zavod ZagrebMR,Imunoloski zavod Zagreb,MR,Marketed,
India,Zuventus Healthcare,TCV,Marketed,"Typhoid vi conjugate vaccine and tetanus toxoid (Vac-T) is extracted from Salmonella typhi Type2 strain acts as an immunizing agent. It is formulated as solution for intramuscular route of administration. Vac-T is indicated for active immunization against Salmonella typhi in infants of age3 months, children and adults."
India,Bio-Med,TCV,Marketed,The Typhoid Vi Conjugate vaccine have been demonstrated to include ‘T’ Cell dependent response with much higher antibody. The conjugate Vi antigen vaccine also elicits booster response as is common to all conjugated vaccines.
India,Indian Immunologicals,DTwP-HepB-Hib,Marketed,"Diphtheria, Haemophilus influenza, Hepatitis B , Pertussis and Tetanus (Vaxtar) is a pentavalent vaccine, acts as an immunizing agent. It is formulated as solution for intramuscular route of administration. Vaxtar is indicated for the diphtheria, haemophilus influenza infections, hepatitis B , pertussis and tetanus."
India,Tergene Biotech,PCV,Phase III,Pneumococcal vaccine is under development for the treatment of streptococcal pneumonia infections. The vaccine candidate is a polysaccharide based conjugate vaccine with immunogenic carrier protein CRM 197. It is developed based on bio-conjugate platform technology and polysaccharide carrier protein conjugate technology. It is administered through intramuscular route.
India,Indian Immunologicals,MR,Phase III,Vaccine candidate is under development for the prevention of measles and rubella. It is administered by subcutaneous route.
India,Hilleman Labs,Rota,Phase II,Rotavirus vaccine is under development for the prevention of rotavirus infection. The therapeutic candidate is a lyophilized live attenuated pentavalent (G1-G4 and P1[8]) heat-stable rotavirus vaccine (HSRV). The vaccine candidate is administered by oral route. It is developed based on heat-stable technology which will offer longer stability to the rotavirus vaccine in extreme climates.
India,Aurobindo,PCV,Phase II,
