Country of Manufacture (group),Company (group),Vaccine,Highest Pipeline (group) 1,Drug Description
India,Indian Immunologicals,TCV,Preclinical,Vaccine is under development for the prevention of typhoid fever. It is a conjugate vaccine.
Indonesia,Bio Farma,DTwP-HepB-Hib,PQ'd,
Indonesia,Bio Farma,MR,Marketed,"Measles and Rubella combined vaccine (M-Vac/Mr-Vax) is a live attenuated virus vaccine, acts as an immunizing agent. It is a lyophilized powder for solution and suspension administered through subcutaneous route. M-vac is indicated for the active immunization against measles and rubella in infants, children, adolescents and young adults at risk."
Indonesia,Bio Farma,IPV,Marketed,
Indonesia,Bio Farma,TCV,Phase III,*
Indonesia,Bio Farma,Rota,Phase II,
InventpriseHPV,Inventprise,HPV,Preclinical,IVT-human papillomavirus-09 is under development for the prevention of infections caused by human papillomavirus (HPV). The vaccine candidate comprises virus like particles (VLPs) that encapsulate an immunogenic component and a stabilizing agent.
InventpriseRota,Inventprise,Rota,Preclinical,Vaccine is under development for the prevention of rotavirus infections. The therapeutic candidate comprises thermostable live attenuated virus and is administered through oral route.
InventpriseYF,Inventprise,YF,Preclinical,Vaccine is under development for the prevention of yellow fever. It is being developed based on conjugation platform.
Iran,Iran University of Medical Sciences,HPV,Phase II,"Vaccine is under investigation for the treatment of grade II/III cervical Intraepithelial neoplasia,cervical cancer caused by human papillomavirus type 16. It is administered orally. The therapeutic candidate is a lactococcus lactis vaccine containing codon-optimized full-length E7 and E6 oncoproteins of HPV-16."
Iran,Biosun Pharmed,HPV,Preclinical,Vaccine is under development for the prevention of human papillomavirus infections. It is a virus like particle (VLP) based vaccine candidate.
Janssen Vaccines Corp.DTwP-HepB-Hib,Janssen Vaccines Corp.,DTwP-HepB-Hib,PQ'd,"Bordetella pertussis, inactivated, diphtheria toxoid, haemophilus influenza type B, hepatitis B recomb. surface antigen adsorbed, inactivated bordetella pertussis, tetanus toxoid, (Quinvaxem) is a vaccine. It is formulated as suspension for intramuscular route of administration. Quinvaxem is indicated for primary immunisation of infants (during the first year of life) against diphtheria, tetanus, pertussis, hepatitis B and invasive disease caused by Haemophilus influenza, type b and for booster immunisation of young children during the second year of life. The vaccine is ‘adsorbed’. This means that the active substances are fixed on aluminium compounds, to stimulate a better immune response. The surface antigens of the hepatitis B virus are produced by a method known as ‘recombinant DNA technology."
Janssen Vaccines Corp.IPV,Janssen Vaccines Corp.,IPV,Phase II,JNJ-2348 (inactivated polio vaccine (IPV)) is under development for the prevention of poliomyelitis caused by polio virus (PV). It is a trivalent inactivated poliovirus vaccine based on Sabin strains which is administered intramuscularly in the form of solution and suspension. The vaccine candidate is developed based on PER.C6-based inactivated polio vaccine technology. This technology utilizes Crucell's PER.C6 human cell lines to develop vaccines. The vaccine candidate is a new molecular entity (NME).
Japan,Takeda,MR,Marketed,"Measles and Rubella combined vaccine is a live virus vaccine for vaccination against rubella (German measles) and measles. It is formulated as injectable powder for solution for subcutaneous route of administration. It is indicated for active immunization against measles and rubella in infants, children, adolescents and young adult."
Japan,Mitsubishi Tanabe Pharma,MR,Marketed,Measles and rubella combined vaccine (Mearubik) is an viral vaccine acts as an active immunizing preparation. It is formulated as injection administered intramuscularly (IM) and subcutaneously (SC). It is indicated for simultaneous vaccination against measles and rubella.
Japan,Mitsubishi Tanabe Pharma,JE,Marketed,"Jebik V is a freeze-dried preparation containing inactivated Japanese encephalitis virus derived from cell cultures. It is formulated as a sterile, lyophilized vaccine for subcutaneous administration. It is indicated for the prevention of Japanese encephalitis (JE), a mosquito-borne (culex tritaeniorhynchus) arboviral infection, which is the leading cause of viral encephalitis. There is no specific method of treatment for Japanese encephalitis. Symptomatic treatment plays the central role. This vaccination is recommended for persons who plan to reside in areas where JE is endemic or epidemic."
Japan,KM Biologics,JE,Marketed,
Japan,Takeda,IPV,Phase III,
Japan,University of Tokyo,OCV,Phase I,IMSUTMR-1501 is under investigation for the prevention of cholera and Traveler's diarrhea. The vaccine candidate is administered through oral route. It is a mucosal rice-based sub unit vaccine comprising of cholera toxin B-subunit (CTB) with RNAi cassette. It is developed based on the mucorice project platform.
Japan,Astellas,OCV,Phase I,The Institute of Medical Science The University of Tokyo Phase I IMSUTMR-1501 is under investigation for the prevention of cholera and Traveler's diarrhea. The vaccine candidate is administered through oral route. It is a mucosal rice-based sub unit vaccine comprising of cholera toxin B-subunit (CTB) with RNAi cassette. It is developed based on the mucorice project platform. IMSUTMR-1501 Cholera
Japan,UMN Pharma,Rota,Preclinical,UMN-103 is under development for the prevention of rotavirus infection. It is containing recombinant protein of VP6 obtained from rotavirus of group A. The therapeutic candidate constitutes virus-like particles.
Japan,HanaVax,HPV,Preclinical,Vaccine is under development for the prevention of human papillomavirus infections. It is administered through nasal route. The vaccine candidate is developed based on cationized nanogel technology.
"Lanzhou Institute of Biological Products Co.,Ltd (CNBG Subsidiary)JE","Lanzhou Institute of Biological Products Co.,Ltd (CNBG Subsidiary)",JE,Marketed,Japanese encephalitis virus is an inactivated Vero cell- derived vaccine prepared from an Indian strain of the Japanese encephalitis virus. It is formulated as powder for solution for the intramuscular route of administration. Japanese encephalitis is indicated for active immunization against Japanese encephalitis infection.
"Lanzhou Institute of Biological Products Co.,Ltd (CNBG Subsidiary)PCV","Lanzhou Institute of Biological Products Co.,Ltd (CNBG Subsidiary)",PCV,Phase III,Pneumococcal vaccine is under development for the prevention of streptococcal pneumoniae infections. It is a 13-valent pneumococcal conjugate vaccine and administered through intramuscular route.
"Lanzhou Institute of Biological Products Co.,Ltd (CNBG Subsidiary)Rota","Lanzhou Institute of Biological Products Co.,Ltd (CNBG Subsidiary)",Rota,Marketed,"Rotavirus Vaccine (rotavirus vaccine (live, oral)) is a vaccine isolated from human and bovine hosts. It is formulated as suspension for oral route of administration. Rotavirus Vaccine is indicated to produce immunity against group A rotavirus and mainly for infants and children at the age of 2 months to 3 years."
LG Chem LtdDTwP-HepB-Hib,LG Chem Ltd,DTwP-HepB-Hib,PQ'd,"Diphtheria, Tetanus, Pertussis, hepatitis [HBsAg] and haemophilus influenzae type B (Euforvac-Hib) is an active immunizing preparation consisting of purified diphtheria and tetanus toxoids, inactivated pertussis organisms, purified HBsAg and Hib conjugated to tetanus toxoid. It is formulated as lyophilized suspension for intramuscular route of administration. The vaccine is indicated for active primary immunization against diphtheria, tetanus, pertussis and hepatitis B infection."
LG Chem LtdIPV,LG Chem Ltd,IPV,PQ'd,LBVC is under development for the prevention of poliomyelitis infection. It is an inactivated sabin poliomyelitis vaccine. It is administered through intramuscular route.
Longuide Limited LabHPV,Longuide Limited Lab,HPV,Preclinical,Vaccine is under development for the prevention of human papillomavirus infections. The vaccine candidate is an mRNA vaccine delivered with a lipid-like nanoparticle (LLLRNA) and is being developed based on LLLRNA nano-delivery technology.
Merck VaccinesHPV,Merck Vaccines,HPV,PQ'd,*
Merck VaccinesPCV,Merck Vaccines,PCV,Marketed,*
Merck VaccinesRota,Merck Vaccines,Rota,PQ'd,"RotaTeq is a vaccine indicated for the prevention of rotavirus gastroenteritis caused by types G1, G2, G3, G4, and G9."
Panacea Biotec Ltd.DTwP-HepB-Hib,Panacea Biotec Ltd.,DTwP-HepB-Hib,PQ'd,"Diphtheria, tetanus, inactivated w-B. pertussis, HBsAg and H. influenzae type b oligosaccharides conjugated to CRM197 protein (Easyfive), is a pentavalent vaccine. It is formulated as suspension for intramuscular route of administration. Easyfive is indicated for the primary active immunization against diphtheria, tetanus, pertussis, Haemophilus influenzae type b [Hib] and hepatitis B (HB) in infants from 6 weeks onwards."
Panacea Biotec Ltd.IPV,Panacea Biotec Ltd.,IPV,Marketed,Vaccine candidate is under development for the prevention of poliomyelitis. The vaccine candidate is formulated as a suspension and administered through intramuscular and intradermal routes. It is a sabin inactivated polio vaccine.
Panacea Biotec Ltd.PCV,Panacea Biotec Ltd.,PCV,Phase II,*
Razi Vaccine & Serum Research InstituteMR,Razi Vaccine & Serum Research Institute,MR,Marketed,
Russia,Chumakov,YF,PQ'd,"Yellow fever vaccine formulated as powder, solution for injection for subcutaneous route of administration. It is indicated in prevention of yellow fever in children from 9 months of age and adults traveling abroad in enzootic areas for yellow fever, as well as persons working with live cultures of the pathogen of yellow fever."
Russia,Microgen,YF,Marketed,
Russia,RosNIPChI,OCV,Marketed,Denka Seiken Co Ltd
Russia,Microgen,MR,Marketed,
Russia,Nanolek,IPV,Marketed,*
Russia,Microgen,Rota,Phase II,Tech transfer from Serum Institute of India and Zydus Cadila
Russia,Nanolek,PCV,Phase II,"Vaccine candidate is under development for the prevention of Streptococcus pneumonia infections.The therapeutic candidate is a 13-valent, polysaccharide based vaccine. It is administered through intramuscular route."
Russia,SPbNIIVS,PCV,Preclinical,Vaccine is under investigation for the prevention of pneumococcal infections
Russia,SPbNIIVS,HPV,Preclinical,Vaccine is under development for the prevention of human papillomavirus infections.
Russia,Nanolek,HPV,Preclinical,"Vaccine candidate is under development for the prevention of human papillomavirus infections. The vaccine candidate is a recombinant vaccine comprising of four serotypes (6, 11, 16, 18). It is administered through intramuscular route."
Sanofi Healthcare India Private Limited (India)DTwP-HepB-Hib,Sanofi Healthcare India Private Limited (India),DTwP-HepB-Hib,PQ'd,
Sanofi Healthcare India Private Limited (India)HPV,Sanofi Healthcare India Private Limited (India),HPV,Preclinical,"Vaccine candidate is under development for the treatment of human papillomavirus (HPV) associated with prevention of cervical cancer. The vaccine is a second generation L2 (minor capsid antigen) that contain at least two viral proteins, a major protein (L1) and a minor protein (L2). An L2 protein molecule is differentially involved in the association of the papillomavirus capsid."
Sanofi Healthcare India Private Limited (India)IPV,Sanofi Healthcare India Private Limited (India),IPV,PQ'd,
Sanofi Healthcare India Private Limited (India)OCV,Sanofi Healthcare India Private Limited (India),OCV,PQ'd,O1 El Tor Inaba (C6709) ; developed by Shantha
Sanofi Healthcare India Private Limited (India)Rota,Sanofi Healthcare India Private Limited (India),Rota,Phase III,Tetravalent combination (G1-4); oral liquid presentation
Sanofi PasteurIPV,Sanofi Pasteur,IPV,PQ'd,*
Sanofi PasteurYF,Sanofi Pasteur,YF,PQ'd,"Yellow fever vaccine (YF-Vax / Stamaril, Amaril) is a immunizing agent against Yellow fever prepared by culturing the 17D-204 strain of yellow fever virus in living avian leukosis virus-free (ALV-free) chicken embryos. It is formulated as injection for suspension administered through subcutaneous route. Yellow fever vaccine is recommended for active immunization of persons 9 months of age and older. Yellow fever is an acute viral illness caused by a mosquito-borne flavivirus."
Senegal,Institut Pasteur de Dakar,YF,PQ'd,
Seqirus LimitedOCV,Seqirus Limited,OCV,Marketed,Cholera Vaccine (Dukoral) is an active immunizing agent . It is formulated in the form of suspension and effervescent granules for oral route of administration. It is indicated for active immunisation against disease caused by Vibrio cholerae serogroup O1 in adults and children from 2 years of age who will be visiting endemic/epidemic areas. Dukoral is also used to treat travellers diarrhea.
Serum Institute of India Pvt. Ltd.DTwP-HepB-Hib,Serum Institute of India Pvt. Ltd.,DTwP-HepB-Hib,PQ'd,"Diphtheria, tetanus, pertussis, hepatitis B and haemophillus congugate type B (Pentavac PFS) is a pentavalent vaccine. It is formulated as injection, suspension for intramuscular route of administration. It is indicated for the primary active immunization against diphtheria, tetanus, pertussis, Haemophilus influenzae type b [Hib] and hepatitis B (HB) in infants from 6 weeks onwards."
Serum Institute of India Pvt. Ltd.HPV,Serum Institute of India Pvt. Ltd.,HPV,Phase II,"Human papillomavirus vaccine is under development for the prevention of human papillomavirus infection. It is administered through intramuscular route. The vaccine candidate is a recombinant tetravalent vaccine comprising of four serotypes (6,11,16,18)."
Serum Institute of India Pvt. Ltd.IPV,Serum Institute of India Pvt. Ltd.,IPV,PQ'd,"Polio vaccine (Poliovac) consists of a mixture of inactive poliovirus strains (type 1, Mahoney strain, type 2, MEF-I strain, type 3, Saukett strain). It is formulated as single dose and prefilled syringe powder for solution for intramuscular and subcutaneous route of administration. Poliovac is indicated for active immunization of infants, children and adults for the prevention of poliomyelitis caused by poliovirus Types 1, 2 and 3."
Serum Institute of India Pvt. Ltd.MenA,Serum Institute of India Pvt. Ltd.,MenA,PQ'd,For active immunization against invasive meningococcal disease caused by meningococcus group A only.
Serum Institute of India Pvt. Ltd.MR,Serum Institute of India Pvt. Ltd.,MR,PQ'd,"Measles and Rubella combined vaccine (M-Vac/Mr-Vax) is a live attenuated virus vaccine, acts as an immunizing agent. It is a lyophilized powder for solution and suspension administered through subcutaneous route. M-vac is indicated for the active immunization against measles and rubella in infants, children, adolescents and young adults at risk."
Serum Institute of India Pvt. Ltd.PCV,Serum Institute of India Pvt. Ltd.,PCV,PQ'd,"Pneumococcal polysaccharide [10-valent] vaccine (Pneumosil) ) is a mixture of polysaccharides of the capsular antigens of Streptococcus pneumoniae serotypes 1, 5, 6A, 6B, 7F, 9V, 14, 19A, 19F and 23F individually conjugated by using 1-cyano-4-dimethylamino pyridinium tetrafluoroborate (CDAP) to non-toxic diphtheria CRM197 protein. It is formulated as suspension for intramuscular route of administration. Pneumosil is indicated for active immunization of infants and children against Streptococcus pneumoniae serotypes 1, 5, 6A, 6B, 7F, 9V, 14, 19A, 19F and 23F and invasive disease caused by these serotypes."
Serum Institute of India Pvt. Ltd.Rota,Serum Institute of India Pvt. Ltd.,Rota,PQ'd,*
"Shanghai Institute of Biological Products Co.,Ltd (CNBG Subsidiary)HPV","Shanghai Institute of Biological Products Co.,Ltd (CNBG Subsidiary)",HPV,Phase II,"Vaccine candidate is under development for the prevention of human papillomavirus (HPV)- associated cervical cancer and cervical intraepithelial neoplasia. The vaccine candidate comprises of virus-like  particles  (VLPs)  of HPV serotypes 16, 18, 52, and 58. The drug candidate is administered by intramuscular route."
Sinovac Biotech Co. LtdIPV,Sinovac Biotech Co. Ltd,IPV,Marketed,
"SK Bioscience Co., Ltd.HPV","SK Bioscience Co., Ltd.",HPV,Phase II,
"SK Bioscience Co., Ltd.PCV","SK Bioscience Co., Ltd.",PCV,Pre-Launch,*
"SK Bioscience Co., Ltd.Rota","SK Bioscience Co., Ltd.",Rota,Phase II,
"SK Bioscience Co., Ltd.TCV","SK Bioscience Co., Ltd.",TCV,Phase III,The vaccine candidate is under development for the treatment of typhoid fever. It is a Vi-diphtheria toxoid (Vi-DT) conjugate vaccine administered intramuscularly. The vaccine candidate is a conjugate of the Salmonella Typhi Vi polysaccharide to diphtheria toxoid (Vi-DT). It is developed based on typhoid conjugate vaccine using platform technology. The drug candidate was also under development for typhoid fever in India.
South Korea,International Vaccine Institute,OCV,Phase III,Vaccine is under investigation for the prevention of cholera. The vaccine candidate consists of inactivated O1 and O139 serotype strains. The vaccine candidate is administered through oral route.
South Korea,EyeGene,HPV,Phase I,EG-HPV is under development for the treatment of human papillomavirus (HPV) associated cervical cancer. It is developed based on vaccine technology that contains HPV VLP type 16 and 18 virus like particle and an immune adjuvant. It is administered by intramuscular route. The immune adjuvant is developed using a LOS (CIA05). Virus-like particle (VLP) vaccines are typically comprised of multiple copies of a protein antigen that when assembled together mimic the conformation of a native virus.
South Korea,International Vaccine Institute,Rota,Preclinical,Vaccine is under development for the prevention of rotavirus infections.  The vaccine candidate is an inactivated vaccine.
South Korea,International Vaccine Institute,IPV,Preclinical,"Vaccine candidate is under development for the prevention of polio. The vaccine candidate is an inactivated, adjuvanted vaccine."
Staten Serum InstituteIPV,Staten Serum Institute,IPV,Pre-Launch,Vaccine candidate is under investigation for the prevention of poliomyelitis. It is administered through intramuscular route. It is an Al(OH)3 adjuvated inactivated polio vaccine.
Sweden,2A Pharma,HPV,Phase I,"2AP-01 is under development for the prevention of human papillomavirus (HPV) infections. It is administered as an intramuscular injection. The vaccine candidate comprises of peptides from human papillomavirus (HPV) serotypes 16, 31 and also constitutes viruses like particles of VP3 capsid proteins which are used as a carrier to display a conserved HPV neutralizing epitopes. It acts by targeting HPV L2 capsid protein. The drug candidate is developed based on adeno-associated virus-like particles (AAVLP) technology."
Taiwan,Adimmune Corp,JE,Marketed,Vaccine candidate is under development for the prevention of Japanese encephalitis. The therapeutic candidate is a cell culture-based vaccine. It is an inactivated Japanese encephalitis vaccine produced by serum-free micro carrier single used bioreactor system.
Taiwan,National Health Research Institutes,JE,Preclinical,Vaccine is under investigation for the prevention of Japanese encephalitis virus infection. It is an inactivated Vero cell-based vaccine.
Thailand,BioNet-Asia,HPV,Preclinical,Vaccine candidate is under development for the prevention of human papilloma infection. The vaccine comprises of a recombinant protein. The vaccine candidate evokes protective immune responses against the protein and alleviates the condition.
UK,Emergex Vaccines Ltd,YF,Preclinical,Vaccine candidate is under development for the prevention of yellow fever. It is formulated as micro needle skin patch which is administered through transdermal route. The drug candidate is being developed based on gold nanoparticle platform technology.
UK,Enesi Pharma Ltd,TCV,Preclinical,Vaccine is under development for the prevention of typhoid fever. It is administered through transcutaneous route. The drug candidate is being developed based on ImplaVax technology platform.
UK,Enesi Pharma Ltd,MR,Preclinical,Vaccine candidate is under development for the prevention of measles and rubella. It is administered through subcutaneous route as implant. The vaccine candidate is being developed based on Implavax technology.
University of QueenslandYF,University of Queensland,YF,Preclinical,Vaccine candidate is under investigation for the prevention of yellow fever. Vaccine construct consists of chimeras combining an insect-specific flavivirus (ISF).
USA,Pfizer,PCV,PQ'd,*
USA,PaxVax,OCV,Marketed,
USA,Smart Biotech,YF,Phase III,SinSaVak is under development for the prevention of yellow fever. It is formulated as lyophilized solution and administered by subcutaneous route.
USA,Vaxcyte,PCV,Phase II,*
USA,Affinivax,PCV,Phase II,"ASP-3772 is under development for the prevention of Streptococcus pneumoniae infections. It is administered through intramuscular and subcutaneous route. It has valency of 24, and it is a conjugate vaccine that contains a particular ratio of pneumococcal polysaccharides and pneumococcal proteins. It is developed based on multiple antigens presenting system (MAPS) technology platform."
USA,Micron Biomedical Inc,MR,Phase II,Vaccine candidate is under development for the prevention of measles and rubella. It is a live attenuated vaccine administered by transdermal route. The therapeutic candidate is developed based on microneedle patch technology.
USA,Inovio Pharmaceuticals Inc,HPV,Phase II,INO-3107 is under development for the prevention of recurrent respiratory papillomatosis caused by human papillomavirus type 6 and 11. The vaccine candidate is being developed based on SynCon vaccine platform technology and CELLECTRA DNA delivery technology. It is administered through intramuscular route.
USA,Saint Louis University,YF,Phase I,The vaccine candidate is under development for the prevention of yellow fever. It uses a modified smallpox vaccine as a vector to deliver yellow fever proteins to cells.
USA,Najit Technologies,YF,Phase I,Hydrovax-YFV is under development for the prevention of yellow fever. It is an inactivated vaccine which acts by stimulating the immune response. The vaccine candidate is based on HydroVax technology. It is administered through intramuscular route.
USA,Matrivax,TCV,Phase I,Typhax (ViCRM-197) is under development for the prevention of typhoid fever.  It is formulated as injection and administered through the intramuscular route. The ViCRM-197 PCMV consists of capsular polysaccharides of encapsulated bacterial pathogens which are the primary antigenic components involved in protective immunity against bacterial pathogens. The vaccine candidate is developed by using Protein Capsular Matrix Vaccine (PCMV) technology.
USA,PATH,IPV,Phase I,
USA,Medigen,YF,Preclinical,Yellow fever vaccine is under development. The vaccine candidate is based on the expression of the live attenuated 17D virus. The vaccine candidate is developed based on immunization DNA (iDNA) infectious clone technology platform.
USA,CureVac,YF,Preclinical,Vaccine candidate is under development for the prevention of yellow fever. The vaccine candidate is developed based on lipid-nanoparticle (LNP)-formulated mRNA technology.
USA,VaxNewMO LLC,PCV,Preclinical,Pneumococcal vaccine is under development for the prevention of Streptococcal Pneumoniae infections. The drug candidate is polyvalent bioconjugate vaccine with an attached acceptor protein ComP. It is developed by in-vivo conjugating enzyme technology.
USA,Matrivax,PCV,Preclinical,Pneumococcal polysaccharide (13-valent) vaccine is under development for the prevention and treatment of Streptococcal pneumonia infections. The drug candidate is a pneumolysin-fusion protein that provides ‘serotype-independent’ protection against invasive pneumococcal disease. The drug candidate is developed based on Protein Capsular Matrix Vaccine (PCMV) technology.
USA,Abcombi Biosciences Inc,PCV,Preclinical,"Vaccine candidate is under development for the prevention of Streptococcus pneumonia infections. The therapeutic candidate is a conjugate vaccine. It is a first generation liposomal encapsulation of polysaccharides (LEPS) vaccine, which comprises of 20 encapsulated pneumococcal capsular polysaccharides (CPSs) and two surface-displayed virulence-associated proteins (GlpO and PncO)."
USA,Boston Children's Hospital,OCV,Preclinical,Vaccine candidate is under investigation for the prevention of cholera. It is administered through oral route. The vaccine candidate is developed as a biofilm with genetically engineered cholera cell to produce a fusion protein. The fusion protein is a combination of the RbmA protein and the cholera toxin B subunit antigen.
USA,NIH,JE,Preclinical,"Vaccine candidate is under investigation for the prevention of Japanese encephalitis. The therapeutic candidate is a second generation, live-attenuated, recombinant JEV SA14-14-2 vaccine."
USA,Medigen,JE,Preclinical,Vaccine candidate is under development for the prevention of Japanese encephalitis infection. The therapeutic candidate consists of plasmid DNA that encodes the full-length Japanese encephalitis virus (JEV) genomic cDNA.
USA,Biological Mimetics,IPV,Preclinical,Vaccine is under development for the prevention of poliomyelitis. It is developed using radiation inactivation method which produces less expensive IPV.
USA,Voltron Therapeutics,HPV,Preclinical,Vaccine is under development for the prevention of human papillomavirus induced malignancies. The vaccine candidate is a self-assembling vaccine being developed based on vaxcelerate platform.
USA,Replicate Bioscience,HPV,Preclinical,RBI-6000 is under development for the treatment of human papillomavirus (HPV) infections. The vaccine candidate is developed based on UNiversal Intracellular Targeted Expression (UNITE) and SynRGY (Synthetic Replicon for Gene delivery) technologies.
USA,Pathovax LLC,HPV,Preclinical,RGVax is under development for the prevention of human papillomavirus infections. The vaccine candidate comprises of chimeric virus like particles. It acts by targeting human papillomavirus major capsid protein L2 (L2). The VLP is developed based on human papillomavirus (HPV) prophylactic vaccine technology.
VABIOTECHOCV,VABIOTECH,OCV,Marketed,
VaxSyna IncHPV,VaxSyna Inc,HPV,Preclinical,Vaccine is under development for the prevention of human papillomavirus infections.
Viet Nam,POLYVAC,Rota,Marketed,"The Center for Research and Production of Vaccines and Biologicals (POLYVAC), Vietnam has licensed an oral, live attenuated human rotavirus vaccine, Rotavin–M1, in Vietnam. The KH0118-2003 strain (G1P[8]) was selected based on these analyses as the best candidate for further development."
Viet Nam,POLYVAC,MR,Marketed,
Viet Nam,VABIOTECH,JE,Marketed,
Viet Nam,National Institute of Hygiene and Epi.,IPV,Phase II,The vaccine candidate is under investigation for the prevention of poliomyelitis. The therapeutic candidate is administered through subcutaneous route.
"Wuhan Institute of Biological Products Co.,Ltd (CNBG Subsidiary)JE","Wuhan Institute of Biological Products Co.,Ltd (CNBG Subsidiary)",JE,Marketed,Japanese encephalitis virus is an inactivated Vero cell- derived vaccine prepared from an Indian strain of the Japanese encephalitis virus. It is formulated as powder for solution for the intramuscular route of administration. Japanese encephalitis is indicated for active immunization against Japanese encephalitis infection.
"Wuhan Institute of Biological Products Co.,Ltd (CNBG Subsidiary)Rota","Wuhan Institute of Biological Products Co.,Ltd (CNBG Subsidiary)",Rota,Phase II,"The vaccine candidate is under development for the prevention of infant diarrhea caused by Rotavirus. It is administered through oral route. The vaccine candidate is a human bovine reassortant vaccine with VP7 (G) specificity for serotypes 1, 2, 3, 4, 8 and 9."
