Vaccine,Year,Measure Names,Value (USD),WAP
BCG,2019,Value (USD),19680000,
BCG,2018,Value (USD),11400000,
BCG,2017,Value (USD),16500000,
BCG,2016,Value (USD),14300000,
BCG,2015,Value (USD),11900000,
BCG,2014,Value (USD),11600000,
BCG,2013,Value (USD),11000000,
BCG,2012,Value (USD),8200000,
BCG,2011,Value (USD),8300000,
BCG,2010,Value (USD),8000000,
BCG,2009,Value (USD),10800000,
BCG,2008,Value (USD),8400000,
BCG,2007,Value (USD),9400000,
BCG,2006,Value (USD),8600000,
BCG,2005,Value (USD),8900000,
BCG,2004,Value (USD),8500000,
BCG,2003,Value (USD),6200000,
BCG,2002,Value (USD),4400000,
BCG,2001,Value (USD),5700000,
BCG,2000,Value (USD),4400000,
DT/Td,2019,Value (USD),16160000,
DT/Td,2018,Value (USD),8900000,
DT/Td,2017,Value (USD),9400000,
DT/Td,2016,Value (USD),6400000,
DT/Td,2015,Value (USD),4600000,
DT/Td,2014,Value (USD),2000000,
DT/Td,2013,Value (USD),2000000,
DT/Td,2012,Value (USD),1200000,
DT/Td,2011,Value (USD),500000,
DT/Td,2010,Value (USD),400000,
DT/Td,2009,Value (USD),300000,
DT/Td,2008,Value (USD),400000,
DT/Td,2007,Value (USD),600000,
DT/Td,2006,Value (USD),300000,
DT/Td,2005,Value (USD),300000,
DT/Td,2004,Value (USD),300000,
DT/Td,2003,Value (USD),100000,
DT/Td,2002,Value (USD),100000,
DT/Td,2001,Value (USD),200000,
DT/Td,2000,Value (USD),100000,
DTwP-HepB,2012,Value (USD),300000,
DTwP-HepB,2011,Value (USD),1100000,
DTwP-HepB,2010,Value (USD),700000,
DTwP-HepB,2009,Value (USD),1500000,
DTwP-HepB,2008,Value (USD),10000000,
DTwP-HepB,2007,Value (USD),45200000,
DTwP-HepB,2006,Value (USD),33500000,
DTwP-HepB,2005,Value (USD),13100000,
DTwP-HepB,2004,Value (USD),15000000,
DTwP-HepB,2003,Value (USD),14700000,
DTwP-HepB,2002,Value (USD),8200000,
DTwP-HepB,2001,Value (USD),14900000,
DTwP-Hib,2011,Value (USD),12800000,
DTwP-Hib,2010,Value (USD),11900000,
DTwP-Hib,2009,Value (USD),8700000,
DTwP-Hib,2008,Value (USD),6800000,
DTwP-Hib,2007,Value (USD),9400000,
DTwP-Hib,2006,Value (USD),4700000,
DTwP-Hib,2005,Value (USD),1100000,
DTwP-Hib,2004,Value (USD),5600000,
DTwP-Hib,2003,Value (USD),9600000,
DTwP-Hib,2002,Value (USD),700000,
HepB,2019,Value (USD),5680000,
HepB,2018,Value (USD),4400000,
HepB,2017,Value (USD),4900000,
HepB,2016,Value (USD),5100000,
HepB,2015,Value (USD),3100000,
HepB,2014,Value (USD),3600000,
HepB,2013,Value (USD),4300000,
HepB,2012,Value (USD),4100000,
HepB,2011,Value (USD),3200000,
HepB,2010,Value (USD),5300000,
HepB,2009,Value (USD),12500000,
HepB,2008,Value (USD),16800000,
HepB,2007,Value (USD),12900000,
HepB,2006,Value (USD),20100000,
HepB,2005,Value (USD),23600000,
HepB,2004,Value (USD),18900000,
HepB,2003,Value (USD),17200000,
HepB,2002,Value (USD),14600000,
HepB,2001,Value (USD),9700000,
HepB,2000,Value (USD),3100000,
HPV,2019,Value (USD),56850000,
HPV,2018,Value (USD),29800000,
HPV,2017,Value (USD),26500000,
HPV,2016,Value (USD),16500000,
HPV,2015,Value (USD),19500000,
HPV,2014,Value (USD),10100000,
IPV,2019,Value (USD),218400000,
IPV,2018,Value (USD),89200000,
IPV,2017,Value (USD),60100000,
IPV,2016,Value (USD),60400000,
IPV,2015,Value (USD),80400000,
IPV,2014,Value (USD),27700000,
JE,2019,Value (USD),150000,
JE,2018,Value (USD),700000,
JE,2017,Value (USD),8300000,
JE,2016,Value (USD),100000,
JE,2015,Value (USD),3600000,
JE,2014,Value (USD),500000,
Measles,2019,Value (USD),50390000,
Measles,2018,Value (USD),48100000,
Measles,2017,Value (USD),31700000,
Measles,2016,Value (USD),38200000,
Measles,2015,Value (USD),47000000,
Measles,2014,Value (USD),45100000,
Measles,2013,Value (USD),73200000,
Measles,2012,Value (USD),38200000,
Measles,2011,Value (USD),40000000,
Measles,2010,Value (USD),37600000,
Measles,2009,Value (USD),28100000,
Measles,2008,Value (USD),36000000,
Measles,2007,Value (USD),45000000,
Measles,2006,Value (USD),30500000,
Measles,2005,Value (USD),34800000,
Measles,2004,Value (USD),19600000,
Measles,2003,Value (USD),23700000,
Measles,2002,Value (USD),17000000,
Measles,2001,Value (USD),12200000,
Measles,2000,Value (USD),9200000,
Meningococcal,2019,Value (USD),12960000,
Meningococcal,2018,Value (USD),48300000,
Meningococcal,2017,Value (USD),16100000,
Meningococcal,2016,Value (USD),25900000,
Meningococcal,2015,Value (USD),37200000,
Meningococcal,2014,Value (USD),44600000,
Meningococcal,2013,Value (USD),29900000,
Meningococcal,2012,Value (USD),37900000,
Meningococcal,2011,Value (USD),22300000,
Meningococcal,2010,Value (USD),13600000,
Meningococcal,2009,Value (USD),13800000,
Meningococcal,2008,Value (USD),6300000,
Meningococcal,2007,Value (USD),1700000,
Meningococcal,2006,Value (USD),1800000,
Meningococcal,2005,Value (USD),1300000,
Meningococcal,2004,Value (USD),8400000,
Meningococcal,2003,Value (USD),200000,
Meningococcal,2002,Value (USD),3300000,
Meningococcal,2001,Value (USD),600000,
Meningococcal,2000,Value (USD),900000,
MMR,2019,Value (USD),28170000,
MMR,2018,Value (USD),35300000,
MMR,2017,Value (USD),18200000,
MMR,2016,Value (USD),31400000,
MMR,2015,Value (USD),18200000,
MMR,2014,Value (USD),16200000,
MMR,2013,Value (USD),9600000,
MMR,2012,Value (USD),8600000,
MMR,2011,Value (USD),5000000,
MMR,2010,Value (USD),5600000,
MMR,2009,Value (USD),4200000,
MMR,2008,Value (USD),1900000,
MMR,2007,Value (USD),1800000,
MMR,2006,Value (USD),1400000,
MMR,2005,Value (USD),2500000,
MMR,2004,Value (USD),1700000,
MMR,2003,Value (USD),2100000,
MMR,2002,Value (USD),1300000,
MMR,2001,Value (USD),900000,
MMR,2000,Value (USD),600000,
MR,2019,Value (USD),110740000,
MR,2018,Value (USD),124800000,
MR,2017,Value (USD),94000000,
MR,2016,Value (USD),73300000,
MR,2015,Value (USD),61500000,
MR,2014,Value (USD),66800000,
MR,2013,Value (USD),52800000,
MR,2012,Value (USD),26800000,
MR,2011,Value (USD),4600000,
MR,2010,Value (USD),900000,
MR,2009,Value (USD),1400000,
MR,2008,Value (USD),1000000,
MR,2007,Value (USD),14000000,
MR,2006,Value (USD),900000,
MR,2005,Value (USD),5900000,
MR,2004,Value (USD),3400000,
MR,2003,Value (USD),2700000,
MR,2002,Value (USD),700000,
MR,2001,Value (USD),4900000,
MR,2000,Value (USD),700000,
OCV,2019,Value (USD),35230000,
OCV,2018,Value (USD),26100000,
OCV,2017,Value (USD),21900000,
OCV,2016,Value (USD),5000000,
OPV,2019,Value (USD),129520000,
OPV,2018,Value (USD),134700000,
OPV,2017,Value (USD),164000000,
OPV,2016,Value (USD),174800000,
OPV,2015,Value (USD),220400000,
OPV,2014,Value (USD),214500000,
OPV,2013,Value (USD),225600000,
OPV,2012,Value (USD),149400000,
OPV,2011,Value (USD),225600000,
OPV,2010,Value (USD),272000000,
OPV,2009,Value (USD),315500000,
OPV,2008,Value (USD),239500000,
OPV,2007,Value (USD),285500000,
OPV,2006,Value (USD),280900000,
OPV,2005,Value (USD),233900000,
OPV,2004,Value (USD),205100000,
OPV,2003,Value (USD),177500000,
OPV,2002,Value (USD),107900000,
OPV,2001,Value (USD),89000000,
OPV,2000,Value (USD),67300000,
PCV,2019,Value (USD),563830000,
PCV,2018,Value (USD),496000000,
PCV,2017,Value (USD),512300000,
PCV,2016,Value (USD),687200000,
PCV,2015,Value (USD),685900000,
PCV,2014,Value (USD),561300000,
PCV,2013,Value (USD),393200000,
PCV,2012,Value (USD),412900000,
PCV,2011,Value (USD),249300000,
PCV,2010,Value (USD),50400000,
Rota,2019,Value (USD),134690000,
Rota,2018,Value (USD),155700000,
Rota,2017,Value (USD),109000000,
Rota,2016,Value (USD),119900000,
Rota,2015,Value (USD),87500000,
Rota,2014,Value (USD),86400000,
Rota,2013,Value (USD),71200000,
Rota,2012,Value (USD),33500000,
TT,2019,Value (USD),1050000,
TT,2018,Value (USD),3900000,
TT,2017,Value (USD),6600000,
TT,2016,Value (USD),5800000,
TT,2015,Value (USD),6500000,
TT,2014,Value (USD),9100000,
TT,2013,Value (USD),10000000,
TT,2012,Value (USD),7900000,
TT,2011,Value (USD),8900000,
TT,2010,Value (USD),8800000,
TT,2009,Value (USD),8200000,
TT,2008,Value (USD),11600000,
TT,2007,Value (USD),10700000,
TT,2006,Value (USD),5200000,
TT,2005,Value (USD),8500000,
TT,2004,Value (USD),7000000,
TT,2003,Value (USD),4900000,
TT,2002,Value (USD),3900000,
TT,2001,Value (USD),3700000,
TT,2000,Value (USD),2400000,
YF,2019,Value (USD),83370000,
YF,2018,Value (USD),89200000,
YF,2017,Value (USD),43500000,
YF,2016,Value (USD),51800000,
YF,2015,Value (USD),36100000,
YF,2014,Value (USD),36000000,
YF,2013,Value (USD),32600000,
YF,2012,Value (USD),29000000,
YF,2011,Value (USD),19800000,
YF,2010,Value (USD),30800000,
YF,2009,Value (USD),29700000,
YF,2008,Value (USD),26300000,
YF,2007,Value (USD),21100000,
YF,2006,Value (USD),9800000,
YF,2005,Value (USD),12600000,
YF,2004,Value (USD),12700000,
YF,2003,Value (USD),10500000,
YF,2002,Value (USD),3700000,
YF,2001,Value (USD),2200000,
YF,2000,Value (USD),600000,
BCG,2000,WAP,,0.050171038
BCG,2001,WAP,,0.054755043
BCG,2002,WAP,,0.056122449
BCG,2003,WAP,,0.054101222
BCG,2004,WAP,,0.078413284
BCG,2005,WAP,,0.072712418
BCG,2006,WAP,,0.080373832
BCG,2007,WAP,,0.078792959
BCG,2008,WAP,,0.079545455
BCG,2009,WAP,,0.076813656
BCG,2010,WAP,,0.075329567
BCG,2011,WAP,,0.077570093
BCG,2012,WAP,,0.080392157
BCG,2013,WAP,,0.087370929
BCG,2014,WAP,,0.08637379
BCG,2015,WAP,,0.084337349
BCG,2016,WAP,,0.103698332
BCG,2017,WAP,,0.103513174
BCG,2018,WAP,,0.106343284
BCG,2019,WAP,,0.122023810
DT/Td,2000,WAP,,0.03030303
DT/Td,2001,WAP,,0.05
DT/Td,2002,WAP,,0.05
DT/Td,2003,WAP,,0.041666667
DT/Td,2004,WAP,,0.065217391
DT/Td,2005,WAP,,0.090909091
DT/Td,2006,WAP,,0.068181818
DT/Td,2007,WAP,,0.1
DT/Td,2008,WAP,,0.088888889
DT/Td,2009,WAP,,0.083333333
DT/Td,2010,WAP,,0.108108108
DT/Td,2011,WAP,,0.098039216
DT/Td,2012,WAP,,0.097560976
DT/Td,2013,WAP,,0.108108108
DT/Td,2014,WAP,,0.111111111
DT/Td,2015,WAP,,0.110576923
DT/Td,2016,WAP,,0.109401709
DT/Td,2017,WAP,,0.109429569
DT/Td,2018,WAP,,0.112658228
DT/Td,2019,WAP,,0.104473752
DTwP-HepB,2000,WAP,,
DTwP-HepB,2001,WAP,,1.064285714
DTwP-HepB,2002,WAP,,0.953488372
DTwP-HepB,2003,WAP,,1.166666667
DTwP-HepB,2004,WAP,,1.239669421
DTwP-HepB,2005,WAP,,1.259615385
DTwP-HepB,2006,WAP,,1.205035971
DTwP-HepB,2007,WAP,,0.902195609
DTwP-HepB,2008,WAP,,0.714285714
DTwP-HepB,2009,WAP,,0.714285714
DTwP-HepB,2010,WAP,,0.5
DTwP-HepB,2011,WAP,,0.647058824
DTwP-HepB,2012,WAP,,0.75
DTwP-HepB,2013,WAP,,
DTwP-HepB,2014,WAP,,
DTwP-HepB,2015,WAP,,
DTwP-HepB,2016,WAP,,
DTwP-HepB,2017,WAP,,
DTwP-HepB,2018,WAP,,
DTwP-HepB,2019,WAP,,
DTwP-Hib,2000,WAP,,
DTwP-Hib,2001,WAP,,
DTwP-Hib,2002,WAP,,2.333333333
DTwP-Hib,2003,WAP,,2.461538462
DTwP-Hib,2004,WAP,,2.666666667
DTwP-Hib,2005,WAP,,2.75
DTwP-Hib,2006,WAP,,3.357142857
DTwP-Hib,2007,WAP,,3.24137931
DTwP-Hib,2008,WAP,,3.578947368
DTwP-Hib,2009,WAP,,3.222222222
DTwP-Hib,2010,WAP,,3.216216216
DTwP-Hib,2011,WAP,,2.844444444
DTwP-Hib,2012,WAP,,
DTwP-Hib,2013,WAP,,
DTwP-Hib,2014,WAP,,
DTwP-Hib,2015,WAP,,
DTwP-Hib,2016,WAP,,
DTwP-Hib,2017,WAP,,
DTwP-Hib,2018,WAP,,
DTwP-Hib,2019,WAP,,
HepB,2000,WAP,,0.553571429
HepB,2001,WAP,,0.339160839
HepB,2002,WAP,,0.369620253
HepB,2003,WAP,,0.316176471
HepB,2004,WAP,,0.284638554
HepB,2005,WAP,,0.292079208
HepB,2006,WAP,,0.223085461
HepB,2007,WAP,,0.207729469
HepB,2008,WAP,,0.207663782
HepB,2009,WAP,,0.203252033
HepB,2010,WAP,,0.212
HepB,2011,WAP,,0.197530864
HepB,2012,WAP,,0.189814815
HepB,2013,WAP,,0.187772926
HepB,2014,WAP,,0.183673469
HepB,2015,WAP,,0.218309859
HepB,2016,WAP,,0.244019139
HepB,2017,WAP,,0.212121212
HepB,2018,WAP,,0.200913242
HepB,2019,WAP,,0.274263641
HPV,2000,WAP,,
HPV,2001,WAP,,
HPV,2002,WAP,,
HPV,2003,WAP,,
HPV,2004,WAP,,
HPV,2005,WAP,,
HPV,2006,WAP,,
HPV,2007,WAP,,
HPV,2008,WAP,,
HPV,2009,WAP,,
HPV,2010,WAP,,
HPV,2011,WAP,,
HPV,2012,WAP,,
HPV,2013,WAP,,
HPV,2014,WAP,,7.214285714
HPV,2015,WAP,,7.8
HPV,2016,WAP,,5.5
HPV,2017,WAP,,5
HPV,2018,WAP,,4.966666667
HPV,2019,WAP,,4.725685786
IPV,2000,WAP,,
IPV,2001,WAP,,
IPV,2002,WAP,,
IPV,2003,WAP,,
IPV,2004,WAP,,
IPV,2005,WAP,,
IPV,2006,WAP,,
IPV,2007,WAP,,
IPV,2008,WAP,,
IPV,2009,WAP,,
IPV,2010,WAP,,
IPV,2011,WAP,,
IPV,2012,WAP,,
IPV,2013,WAP,,
IPV,2014,WAP,,1.288372093
IPV,2015,WAP,,1.260188088
IPV,2016,WAP,,1.184313725
IPV,2017,WAP,,1.164728682
IPV,2018,WAP,,1.351515152
IPV,2019,WAP,,2.372881356
JE,2000,WAP,,
JE,2001,WAP,,
JE,2002,WAP,,
JE,2003,WAP,,
JE,2004,WAP,,
JE,2005,WAP,,
JE,2006,WAP,,
JE,2007,WAP,,
JE,2008,WAP,,
JE,2009,WAP,,
JE,2010,WAP,,
JE,2011,WAP,,
JE,2012,WAP,,
JE,2013,WAP,,
JE,2014,WAP,,0.277777778
JE,2015,WAP,,0.418604651
JE,2016,WAP,,1
JE,2017,WAP,,0.415
JE,2018,WAP,,0.4375
JE,2019,WAP,,0.454545455
Measles,2000,WAP,,0.108235294
Measles,2001,WAP,,0.112962963
Measles,2002,WAP,,0.114478114
Measles,2003,WAP,,0.126198083
Measles,2004,WAP,,0.134986226
Measles,2005,WAP,,0.155635063
Measles,2006,WAP,,0.16841524
Measles,2007,WAP,,0.189873418
Measles,2008,WAP,,0.208574739
Measles,2009,WAP,,0.2214342
Measles,2010,WAP,,0.221959858
Measles,2011,WAP,,0.236406619
Measles,2012,WAP,,0.236239951
Measles,2013,WAP,,0.246215943
Measles,2014,WAP,,0.251674107
Measles,2015,WAP,,0.276796231
Measles,2016,WAP,,0.27822287
Measles,2017,WAP,,0.270477816
Measles,2018,WAP,,0.305203046
Measles,2019,WAP,,0.308422083
Meningococcal,2000,WAP,,0.169811321
Meningococcal,2001,WAP,,0.193548387
Meningococcal,2002,WAP,,0.230769231
Meningococcal,2003,WAP,,0.5
Meningococcal,2004,WAP,,0.378378378
Meningococcal,2005,WAP,,0.382352941
Meningococcal,2006,WAP,,0.486486486
Meningococcal,2007,WAP,,0.80952381
Meningococcal,2008,WAP,,0.913043478
Meningococcal,2009,WAP,,0.945205479
Meningococcal,2010,WAP,,0.596491228
Meningococcal,2011,WAP,,0.530952381
Meningococcal,2012,WAP,,0.569069069
Meningococcal,2013,WAP,,0.616494845
Meningococcal,2014,WAP,,0.635327635
Meningococcal,2015,WAP,,0.779874214
Meningococcal,2016,WAP,,0.7
Meningococcal,2017,WAP,,0.904494382
Meningococcal,2018,WAP,,0.693965517
Meningococcal,2019,WAP,,2.492307692
MMR,2000,WAP,,1
MMR,2001,WAP,,1.285714286
MMR,2002,WAP,,1.625
MMR,2003,WAP,,1.235294118
MMR,2004,WAP,,1.416666667
MMR,2005,WAP,,1.19047619
MMR,2006,WAP,,1.272727273
MMR,2007,WAP,,1.384615385
MMR,2008,WAP,,1.727272727
MMR,2009,WAP,,1.05
MMR,2010,WAP,,1.333333333
MMR,2011,WAP,,1.428571429
MMR,2012,WAP,,1.323076923
MMR,2013,WAP,,1.5
MMR,2014,WAP,,1.265625
MMR,2015,WAP,,1.3
MMR,2016,WAP,,1.531707317
MMR,2017,WAP,,1.309352518
MMR,2018,WAP,,2.040462428
MMR,2019,WAP,,1.952182952
MR,2000,WAP,,0.538461538
MR,2001,WAP,,0.4375
MR,2002,WAP,,0.5
MR,2003,WAP,,0.482142857
MR,2004,WAP,,0.485714286
MR,2005,WAP,,0.450381679
MR,2006,WAP,,0.45
MR,2007,WAP,,0.466666667
MR,2008,WAP,,0.5
MR,2009,WAP,,0.5
MR,2010,WAP,,0.36
MR,2011,WAP,,0.489361702
MR,2012,WAP,,0.82208589
MR,2013,WAP,,0.496707432
MR,2014,WAP,,0.52681388
MR,2015,WAP,,0.550089445
MR,2016,WAP,,0.620660457
MR,2017,WAP,,0.615183246
MR,2018,WAP,,0.627135678
MR,2019,WAP,,0.657210682
OCV,2000,WAP,,
OCV,2001,WAP,,
OCV,2002,WAP,,
OCV,2003,WAP,,
OCV,2004,WAP,,
OCV,2005,WAP,,
OCV,2006,WAP,,
OCV,2007,WAP,,
OCV,2008,WAP,,
OCV,2009,WAP,,
OCV,2010,WAP,,
OCV,2011,WAP,,
OCV,2012,WAP,,
OCV,2013,WAP,,
OCV,2014,WAP,,
OCV,2015,WAP,,
OCV,2016,WAP,,1.785714286
OCV,2017,WAP,,1.684615385
OCV,2018,WAP,,1.345360825
OCV,2019,WAP,,1.764146219
OPV,2000,WAP,,0.069367141
OPV,2001,WAP,,0.084761905
OPV,2002,WAP,,0.086855027
OPV,2003,WAP,,0.093975011
OPV,2004,WAP,,0.097130138
OPV,2005,WAP,,0.103276227
OPV,2006,WAP,,0.118598269
OPV,2007,WAP,,0.122906711
OPV,2008,WAP,,0.131781666
OPV,2009,WAP,,0.138128803
OPV,2010,WAP,,0.144289428
OPV,2011,WAP,,0.13051024
OPV,2012,WAP,,0.136016023
OPV,2013,WAP,,0.131598903
OPV,2014,WAP,,0.131232793
OPV,2015,WAP,,0.136741531
OPV,2016,WAP,,0.130848117
OPV,2017,WAP,,0.13248243
OPV,2018,WAP,,0.120375335
OPV,2019,WAP,,0.118436694
PCV,2000,WAP,,
PCV,2001,WAP,,
PCV,2002,WAP,,
PCV,2003,WAP,,
PCV,2004,WAP,,
PCV,2005,WAP,,
PCV,2006,WAP,,
PCV,2007,WAP,,
PCV,2008,WAP,,
PCV,2009,WAP,,
PCV,2010,WAP,,6
PCV,2011,WAP,,6.905817175
PCV,2012,WAP,,7.022108844
PCV,2013,WAP,,6.6306914
PCV,2014,WAP,,5.444228904
PCV,2015,WAP,,5.126307922
PCV,2016,WAP,,4.152265861
PCV,2017,WAP,,3.258905852
PCV,2018,WAP,,3.525230988
PCV,2019,WAP,,3.498138727
Rota,2000,WAP,,
Rota,2001,WAP,,
Rota,2002,WAP,,
Rota,2003,WAP,,
Rota,2004,WAP,,
Rota,2005,WAP,,
Rota,2006,WAP,,
Rota,2007,WAP,,
Rota,2008,WAP,,
Rota,2009,WAP,,
Rota,2010,WAP,,
Rota,2011,WAP,,
Rota,2012,WAP,,2.723577236
Rota,2013,WAP,,2.749034749
Rota,2014,WAP,,2.870431894
Rota,2015,WAP,,2.249357326
Rota,2016,WAP,,2.152603232
Rota,2017,WAP,,2.261410788
Rota,2018,WAP,,1.924598269
Rota,2019,WAP,,1.707097592
TT,2000,WAP,,0.029161604
TT,2001,WAP,,0.027945619
TT,2002,WAP,,0.030903328
TT,2003,WAP,,0.042757417
TT,2004,WAP,,0.048644892
TT,2005,WAP,,0.056179775
TT,2006,WAP,,0.05609493
TT,2007,WAP,,0.06167147
TT,2008,WAP,,0.06469604
TT,2009,WAP,,0.063962559
TT,2010,WAP,,0.067848882
TT,2011,WAP,,0.060175794
TT,2012,WAP,,0.062748213
TT,2013,WAP,,0.067842605
TT,2014,WAP,,0.068267067
TT,2015,WAP,,0.069967707
TT,2016,WAP,,0.075032342
TT,2017,WAP,,0.079518072
TT,2018,WAP,,0.084233261
TT,2019,WAP,,0.085504886
YF,2000,WAP,,0.15
YF,2001,WAP,,0.4
YF,2002,WAP,,0.381443299
YF,2003,WAP,,0.6
YF,2004,WAP,,0.518367347
YF,2005,WAP,,0.608695652
YF,2006,WAP,,0.742424242
YF,2007,WAP,,0.667721519
YF,2008,WAP,,0.670918367
YF,2009,WAP,,0.800539084
YF,2010,WAP,,0.872521246
YF,2011,WAP,,0.842553191
YF,2012,WAP,,0.805555556
YF,2013,WAP,,0.961651917
YF,2014,WAP,,1.025641026
YF,2015,WAP,,1.002777778
YF,2016,WAP,,1.090526316
YF,2017,WAP,,1.013986014
YF,2018,WAP,,1.146529563
YF,2019,WAP,,1.161951220
